municipio;cpr;unidade;status
Maragogipe;CPR-R;85ª CIPM/CACHOEIRA;MAPEADO
Maraú;CPR-S;72ª CIPM/ITACARÉ;MAPEADO
Marcionílio Souza;CPR-CH;11º BPM/ITABERABA;MAPEADO
Mascote;CPR-S;62ª CIPM/CAMACAN;MAPEADO
Mata de São João;CPRMS;53ª CIPM/MATA DE SÃO JOÃO;MAPEADO
Matina;CPR-MO;38ª CIPM/BOM JESUS DA LAPA;MAPEADO
Medeiros Neto;CPR-ES;44ª CIPM/MEDEIROS NETO;MAPEADO
Miguel Calmon;CPR-CH;29º BPM/JACOBINA;MAPEADO
Milagres;CPR-R;99ª CIPM/AMARGOSA;MAPEADO
Mirangaba;CPR-CH;29º BPM/JACOBINA;MAPEADO
Mirante;CPR-SO;79ª CIPM/POÇÕES;MAPEADO
Monte Santo;CPR-NE;7ª CIPM/MONTE SANTO;MAPEADO
Morpará;CPR-MO;28ª CIPM/IBOTIRAMA;MAPEADO
Morro do Chapéu;CPR-CN;3ª CIPM/MORRO DO CHAPÉU;MAPEADO
Mortugaba;CPR-SO;80ª CIPM/CANDIDO SALES;MAPEADO
Mucugê;CPR-CH;11º BPM/ITABERABA;MAPEADO
Mucuri;CPR-ES;89ª CIPM/MUCURI;MAPEADO
Mulungu do Morro;CPR-CN;3ª CIPM/MORRO DO CHAPÉU;MAPEADO
Mundo Novo;CPR-CH;98ª CIPM/IPIRÁ;MAPEADO
Muniz Ferreira;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
Muquém do São Francisco;CPR-MO;28ª CIPM/IBOTIRAMA;MAPEADO
Muritiba;CPR-R;27ª CIPM/CRUZ DAS ALMAS;MAPEADO
Mutuípe;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
Nazaré;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
Nilo Peçanha;CPR-R;31º BPM/VALENÇA;MAPEADO
Nordestina;CPR-NE;7ª CIPM/MONTE SANTO;MAPEADO
Nova Canaã;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Nova Fátima;CPR-CH;90ª CIPM/RIACHÃO DO JACUÍPE;MAPEADO
Nova Ibiá;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Nova Itarana;CPR-MRC;93ª CIPM/MARACÁS;MAPEADO
Nova Redenção;CPR-CH;42ª CIPM/LENÇÓIS;MAPEADO
Nova Soure;CPR-NE;21ª CIPM/CIPÓ;MAPEADO
Nova Viçosa;CPR-ES;89ª CIPM/MUCURI;MAPEADO
Novo Horizonte;CPR-CH;29ª CIPM/SEABRA;MAPEADO
Novo Triunfo;CPR-NE;20º BPM/PAULO AFONSO;MAPEADO
Olindina;CPR-LN;6ª CIPM/RIO REAL;MAPEADO
Oliveira dos Brejinhos;CPR-MO;28ª CIPM/IBOTIRAMA;MAPEADO
Ouriçangas;CPR-LN;4º BPM/ALAGOINHAS;MAPEADO
Ourolândia;CPR-CH;29º BPM/JACOBINA;MAPEADO
Palmas de Monte Alto;CPR-MO;17º BPM/GUANAMBI;MAPEADO
Palmeiras;CPR-CH;42ª CIPM/LENÇÓIS;MAPEADO
Paramirim;CPR-SO;46ª CIPM/LIVRAMENTO DE NOSSA SRA;MAPEADO
Paratinga;CPR-MO;28ª CIPM/IBOTIRAMA;MAPEADO
Paripiranga;CPR-NE;21ª CIPM/CIPÓ;MAPEADO
Pau Brasil;CPR-S;62ª CIPM/CAMACAN;MAPEADO
Paulo Afonso;CPR-NE;20º BPM/PAULO AFONSO;MAPEADO
Pé de Serra;CPR-CH;90ª CIPM/RIACHÃO DO JACUÍPE;MAPEADO
Pedrão;CPR-LN;4º BPM/ALAGOINHAS;MAPEADO
Pedro Alexandre;CPR-NE;20º BPM/PAULO AFONSO;MAPEADO
Piatã;CPR-CH;29ª CIPM/SEABRA;MAPEADO
Pilão Arcado;CPR-N;25ª CIPM/CASA NOVA;MAPEADO
Pindaí;CPR-MO;17º BPM/GUANAMBI;MAPEADO
Pindobaçu;CPR-N;54ª CIPM/CAMPO FORMOSO;MAPEADO
Pintadas;CPR-CH;98ª CIPM/IPIRÁ;MAPEADO
Piraí do Norte;CPR-R;60ª CIPM/GANDU;MAPEADO
Piripá;CPR-SO;80ª CIPM/CANDIDO SALES;MAPEADO
Piritiba;CPR-CH;29º BPM/JACOBINA;MAPEADO
Planaltino;CPR-MRC;93ª CIPM/MARACÁS;MAPEADO
Planalto;CPR-SO;79ª CIPM/POÇÕES;MAPEADO
Poções;CPR-SO;79ª CIPM/POÇÕES;MAPEADO
Pojuca;CPRMS;32ª CIPM/POJUCA;MAPEADO
Ponto Novo;CPR-N;6º BPM/SENHOR DO BONFIM;MAPEADO
Porto Seguro;CPR-ES;8º BPM/PORTO SEGURO;MAPEADO
Potiraguá;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Prado;CPR-ES;88ª CIPM/ALCOBAÇA;MAPEADO
Presidente Dutra;CPR-CN;7º BPM/IRECÊ;MAPEADO
Presidente Jânio Quadros;CPR-SO;24º BPM/BRUMADO;MAPEADO
Presidente Tancredo Neves;CPR-R;31º BPM/VALENÇA;MAPEADO
Queimadas;CPR-NE;7ª CIPM/MONTE SANTO;MAPEADO
Quijingue;CPR-NE;5º BPM/EUCLIDES DA CUNHA;MAPEADO
Quixabeira;CPR-CH;91ª CIPM/CAPIM GROSSO;MAPEADO
Rafael Jambeiro;CPR-CH;11º BPM/ITABERABA;MAPEADO
Remanso;CPR-N;25ª CIPM/CASA NOVA;MAPEADO
Retirolândia;CPR-NE;16º BPM/SERRINHA;MAPEADO
Riachão das Neves;CPR-O;86ª CIPM/FORMOSA DO RIO PRETO;MAPEADO
Riachão do Jacuípe;CPR-CH;90ª CIPM/RIACHÃO DO JACUÍPE;MAPEADO
Riacho de Santana;CPR-MO;38ª CIPM/BOM JESUS DA LAPA;MAPEADO
Ribeira do Amparo;CPR-NE;21ª CIPM/CIPÓ;MAPEADO
Ribeira do Pombal;CPR-NE;21ª CIPM/CIPÓ;MAPEADO
Ribeirão do Largo;CPR-SO;80ª CIPM/CANDIDO SALES;MAPEADO
Rio de Contas;CPR-SO;46ª CIPM/LIVRAMENTO DE NOSSA SRA;MAPEADO
Rio do Antônio;CPR-SO;24º BPM/BRUMADO;MAPEADO
Rio do Pires;CPR-MO;4ª CIPM/MACAÚBAS;MAPEADO
Rio Real;CPR-LN;6ª CIPM/RIO REAL;MAPEADO
Rodelas;CPR-N;45ª CIPM/CURAÇA;MAPEADO
Ruy Barbosa;CPR-CH;11º BPM/ITABERABA;MAPEADO
Salinas da Margarida;CPR-R;23º BPM/VERA CRUZ;MAPEADO
Salvador;CPRC-A | CPRC-BTS | CPRC-C;CAPITAL;MULTIPLA
Santa Bárbara;CPR-L;25º BPM/FEIRA DE SANTANA;MAPEADO
Santa Brígida;CPR-NE;20º BPM/PAULO AFONSO;MAPEADO
Santa Cruz Cabrália;CPR-ES;8º BPM/PORTO SEGURO;MAPEADO
Santa Cruz da Vitória;CPR-S;63ª CIPM/IBICARAÍ;MAPEADO
Santa Inês;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Santaluz;CPR-NE;16º BPM/SERRINHA;MAPEADO
Santa Luzia;CPR-S;62ª CIPM/CAMACAN;MAPEADO
Santa Maria da Vitória;CPR-O;30ª CIPM/SANTA MARIA DA VITÓRIA;MAPEADO
Santana;CPR-O;30ª CIPM/SANTA MARIA DA VITÓRIA;MAPEADO
